domain,pricing_page_url,week_start,snapshot_date,snapshot_timestamp,pricing_type,price_shown,reason_code,archive_url
barandbench.com,https://www.barandbench.com/subscription,,,,,,no_snapshots_in_range,
archaeology.org,https://archaeology.org/subscribe,,,,,,no_snapshots_in_range,
architecturaldigest.com,https://www.architecturaldigest.com/v2/offers/arda01029?source=SITE_0_HCL_ARD_MAGSUBHOME_0_CAMPAIGN_ROTATION_2024_ZZ,,,,,,no_snapshots_in_range,
buffalonews.com,https://subscribe.buffalonews.com/subscribe/?Domain=buffalonews.com&SubscriberLevel=DOP,,,,,,no_snapshots_in_range,
bostonglobe.com,https://subscribe.bostonglobe.com//B1209,,,,,,no_snapshots_in_range,
br.tradingview.com,https://br.tradingview.com/pricing,,,,,,no_snapshots_in_range,
azcentral.com,https://subscribe.azcentral.com/offers,,,,,,no_snapshots_in_range,
ajc.com,https://www.ajc.com/start,,,,,,no_snapshots_in_range,
boston.com,https://www.boston.com,,,,,,no_snapshots_in_range,
arstechnica.com,https://arstechnica.com/subscribe,,,,,,no_snapshots_in_range,
caranddriver.com,https://store.caranddriver.com/car-and-driver-magazine-subscription.html?source=cdb_edit_subscribe_vanityurl,,,,,,no_snapshots_in_range,
bwoodtadka.com,https://bwoodtadka.com/membership-join,,,,,,no_snapshots_in_range,
channel3000.com,https://www.channel3000.com/madison-magazine/about-us/manage-subscriptions,,,,,,no_snapshots_in_range,
bigthink.com,https://bigthink.com/subscribe,,,,,,no_snapshots_in_range,
chicago.suntimes.com,https://subscribe.clarionledger.com/offers,,,,,,no_snapshots_in_range,
clarionledger.com,https://cm.clarionledger.com/about-your-subscription,,,,,,no_snapshots_in_range,
businesstoday.in,https://subscriptions.intoday.in/businesstoday?utm_source=website,,,,,,no_snapshots_in_range,
chicagotribune.com,https://subscription.chicagotribune.com/TemplateA?coupon=Promo%20Code,,,,,,no_snapshots_in_range,
businessinsider.com,https://www.businessinsider.com/subscription,,,,,,no_snapshots_in_range,
cincinnati.com,https://subscribe.cincinnati.com/offers,,,,,,no_snapshots_in_range,
cnn.com,https://www.cnn.com/subscription,,,,,,no_snapshots_in_range,
cleveland.com,https://www.cleveland.com:443/subscribe,,,,,,no_snapshots_in_range,
businesslive.co.za,https://www.businessday.co.za/checkout,,,,,,no_snapshots_in_range,
bbc.com,https://www.bbc.com/subscribe,,,,,,no_snapshots_in_range,
coingecko.com,https://www.coingecko.com/en/premium/pricing,,,,,,no_snapshots_in_range,
